":@computed_region_bh64_c7uy",":@computed_region_wvic_k925","adre_a","cerca","codi_postal","comarca","correu_electr_nic","geocoded_column","geocoded_column_address","geocoded_column_city","geocoded_column_state","geocoded_column_zip","latitud","longitud","nom_del_centre","poblaci","tel_fon","tipus_de_via","titularitat"
"512","29","Pere Coromines, 1","Maresme","08001","Barcelonès","icd@gencat.cat","POINT (2.1717 41.377354)",,,,,"41.377354","2.1717","Oficina d'informació de l'Institut Català de les Dones a Barcelona","Barcelona","934951600","Plaça","Generalitat de Catalunya"
"191","6","Poeta Marquina, 2 (Edifici de l'Antic Registre)","Alt Empordà","17600","Alt Empordà","siad@figueres.org","POINT (2.95641 42.26605)",,,,,"42.26605","2.95641","Servei d'informació i atenció a les dones (SIAD) de Figueres","Figueres","972513808","Carrer","Ajuntament de Figueres"
"539","31","Església, 117 baixos","Baix Llobregat","08860","Baix Llobregat","igualtat@castelldefels.org","POINT (1.98504 41.28762)",,,,,"41.28762","1.98504","Servei d'informació i atenció a les dones (SIAD) de Castelldefels","Castelldefels","936651150 ext. 504","Carrer","Ajuntament de Castelldefels"
"852","16","Pompeu Fabra, 2","Baix Empordà","17246","Baix Empordà","igualtat@santacristina.net","POINT (3.02541 41.79001)",,,,,"41.79001","3.02541","Servei d'informació i atenció a les dones (SIAD) de Santa Cristina d'Aro","Santa Cristina d'Aro","972837391","Passatge","Ajuntament de Santa Cristina d'Aro"
"830","31","Sant Francesc Xavier, 1","Baix Llobregat","08950","Baix Llobregat","apastor@esplugues.cat","POINT (2.08533 41.3746)",,,,,"41.3746","2.08533","Servei d'informació i atenció a les dones (SIAD) d'Esplugues de Llobregat","Esplugues de Llobregat","933713350","Carrer","Ajuntament d'Esplugues de Llobregat"
"940","32","Penedès, 3, 2n pis","Alt Penedès","08720","Alt Penedès","casaligualtat@vilafranca.org","POINT (1.69945 41.34404)",,,,,"41.34404","1.69945","Servei d'informació i atenció a les dones (SIAD) de Vilafranca del Penedès","Vilafranca del Penedès","938903218","Plaça","Ajuntament de Vilafranca del Penedès"
"797","22","de l'Església, 1, baixos","Vallès Oriental","08107","Vallès Oriental","serveissocials@martorelles.cat","POINT (2.40511 41.64018)",,,,,"41.64018","2.40511","Servei d'informació i atenció a les dones (SIAD) de Martorelles","Martorelles","935701252","Carrer","Ajuntament de Martorelles"
"764","26","de la vila, 1, baixos dreta","Vallès Occidental","08210","Vallès Occidental","carozm@bdv.cat","POINT (2.1562 41.55746)",,,,,"41.55746","2.1562","Servei d'informació i atenció a les dones (SIAD) de Barberà del Vallès","Barberà del Vallès","937297171","Plaça","Ajuntament de Barberà del Vallès"
"824","22","Aragó, 24","Vallès Oriental","08520","Vallès Oriental","marta.fuertes@lesfranqueses.cat","POINT (2.29483 41.618)",,,,,"41.618","2.29483","Servei d'informació i atenció a les dones (SIAD) de les Franqueses del Vallès","Les franqueses del Vallès","938465862","Carrer","Ajuntament de les Franqueses del Vallès"
"799","26","Major, s/n (Edifici Mirador)","Vallès Occidental","08211","Vallès Occidental","eminguell@castellarvalles.cat","POINT (2.08624 41.61636)",,,,,"41.61636","2.08624","Servei d'informació i atenció a les dones (SIAD) de Castellar del Vallès","Castellar del Vallès","937144040","Plaça","Ajuntament de Castellar del Vallès"
"541","34","de la Vinya d'en Petaca, s/n. Ajuntament de Les Roquetes","Garraf","08812","Garraf","siad@santperederibes.cat","POINT (1.74818 41.2266)",,,,,"41.2266","1.74818","Servei d'informació i atenció a les dones (SIAD) de Sant Pere de Ribes","Les Roquetes. Sant Pere de Ribes","938109268","Plaça","Ajuntament de Sant Pere de Ribes"
"699","31","Municipal, s/n (Edifici Cal Mané)","Baix Llobregat","08640","Baix Llobregat","aj147.cird@olesam.cat","POINT (1.89134 41.54517)",,,,,"41.54517","1.89134","Servei d'informació i atenció a les dones (SIAD) d'Olesa de Montserrat","Olesa de Montserrat","937780050","Parc","Ajuntament d'Olesa de Montserrat"
"414","35","de la Quartera, 1","Priorat","43730","Priorat","siad@priorat.cat","POINT (0.82035 41.14652)",,,,,"41.14652","0.82035","Servei d'informació i atenció a les dones (SIAD) del Priorat","Falset","977830119","Plaça","Consell Comarcal del Priorat"
"57","11","Pere Alsius, 10, 1r","Pla de l'Estany","17820","Pla de l'Estany","siad@cbsplaestany.cat","POINT (2.76381 42.11604)",,,,,"42.11604","2.76381","Servei d'informació i atenció a les dones (SIAD) del Pla de l'Estany","Banyoles","972580388","Carrer","Consorci de Benestar Social Pla de l'Estany - Banyoles"
"671","31","Claverol, 6-8, 1a planta (Edifici de la Foneria)","Baix Llobregat","08620","Baix Llobregat","igualtat@svh.cat","POINT (2.00797 41.38807)",,,,,"41.38807","2.00797","Servei d'informació i atenció a les dones (SIAD) de Sant Vicenç dels Horts","Sant Vicenç dels Horts","936029216","Carrer","Ajuntament de Sant Vicenç dels Horts"
"96","25","de la Llibertat (Espai El Casinet)","Maresme","08320","Maresme","igualtat@elmasnou.cat","POINT (2.3182 41.47913)",,,,,"41.47913","2.3182","Servei d'informació i atenció a les dones (SIAD) del Masnou","El Masnou","935571870","Plaça","Ajuntament d'El Masnou"
"305","9","de Soldevila, 18","Pallars Jussà","25620","Pallars Jussà","siad@pallarsjussa.cat","POINT (0.89478 42.16636)",,,,,"42.16636","0.89478","Servei d'informació i atenció a les dones (SIAD) del Pallars Jussà","Tremp","973650187","Carrer","Consell Comarcal del Pallars Jussà"
"940","32","Hermenegild Clascar, 1-3","Alt Penedès","08720","Alt Penedès","ssocials@ccapenedes.cat","POINT (1.69626 41.34598)",,,,,"41.34598","1.69626","Servei d'informació i atenció a les dones (SIAD) de l'Alt Penedès","Vilafranca del Penedès","938900000","Carrer","Consell Comarcal de l'Alt Penedès"
"73","8","Voltes de Claris, 12","Berguedà","08600","Berguedà","puntdona@ajberga.cat","POINT (1.84699 42.10439)",,,,,"42.10439","1.84699","Servei d'informació i atenció a les dones (SIAD) de Berga","Berga","938215331","Carrer","Ajuntament de Berga"
"571","26","Balmes, 2, planta baixa","Vallès Occidental","08291","Vallès Occidental","siad@ripollet.cat","POINT (2.15347 41.49649)",,,,,"41.49649","2.15347","Servei d'informació i atenció a les dones (SIAD) de Ripollet","Ripollet","935046040","Carrer","Ajuntament de Ripollet"
"460","33","Lluís Companys, 57, baixos","Baix Penedès","43820","Baix Penedès","siad@calafell.org","POINT (1.60666 41.19219)",,,,,"41.19219","1.60666","Servei d'informació i atenció a les dones (SIAD) de Calafell","Calafell","977699009","Carrer","Ajuntament de Calafell"
"28","16","Joan Carreras i Dagas, 1","Baix Empordà","17100","Baix Empordà","siad@baixemporda.cat","POINT (3.03848 41.95793)",,,,,"41.95793","3.03848","Servei d'informació i atenció a les dones (SIAD) del Baix Empordà","La Bisbal d'Empordà","972642310","Plaça","Consell Comarcal del Baix Empordà"
"543","23","de Prat de la Riba, 1","Pla d'Urgell","25230","Pla d'Urgell","areadona@plaurgell.cat","POINT (0.89424 41.63168)",,,,,"41.63168","0.89424","Servei d'informació i atenció a les dones (SIAD) del Pla d'Urgell","Mollerussa","973711313","Carrer","Consell Comarcal del Pla d'Urgell"
"512","29","Mallorca, 219, 3a","Barcelonès","08008","Barcelonès","piad_eixample@bcn.cat","POINT (2.15878 41.39129)",,,,,"41.39129","2.15878","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Eixample","Barcelona","932562819","Carrer","Ajuntament de Barcelona"
"117","29","Can Colom, 1","Barcelonès","08902","Barcelonès","caid@l-h.cat","POINT (2.12043 41.36947)",,,,,"41.36947","2.12043","Servei d'informació i atenció a les dones (SIAD) de L'Hospitalet de Llobregat","L'Hospitalet de Llobregat","934036270","Plaça","Ajuntament de L'Hospitalet de Llobregat"
"500","30","del Carme, 24, baixos","Alt Camp","43800","Alt Camp","pad@valls.cat","POINT (1.24858 41.2828)",,,,,"41.2828","1.24858","Servei d'informació i atenció a les dones (SIAD) de Valls","Valls","977608225","Muralla","Ajuntament de Valls"
"326","1","Major, 36","Val d'Aran","25530","Val d'Aran","siah@aransalut.com","POINT (0.79379 42.70004)",,,,,"42.70004","0.79379","Servei d'informació i atenció a les dones (SIAD) de l'Aran","Vielha e Mijaran","973642560","Carrer","Consell General d'Aran"
"522","25","Santa Eulàlia, 40","Maresme","08340","Maresme","diad@vilassardemar.cat","POINT (2.38684 41.50422)",,,,,"41.50422","2.38684","Servei d'informació i atenció a les dones (SIAD) de Vilassar de Mar","Vilassar de Mar","937540500","Carrer","Ajuntament de Vilassar de Mar"
"503","31","de l'Agricultura, 4","Baix Llobregat","08820","Baix Llobregat","siad@elprat.cat","POINT (2.0932 41.32478)",,,,,"41.32478","2.0932","Servei d'informació i atenció a les dones (SIAD) del Prat de Llobregat","El Prat de Llobregat","933790050","Plaça","Ajuntament d'El Prat de Llobregat"
"512","29","Brusi, 51-61","Barcelonès","08006","Barcelonès","piad_sarriasantgervasi@bcn.cat","POINT (2.14451 41.40188)",,,,,"41.40188","2.14451","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sarrià-Sant Gervasi","Barcelona","932002602","Carrer","Ajuntament de Barcelona"
"512","29","Vila de Gràcia, 2","Barcelonès","08012","Barcelonès","piad_gracia@bcn.cat","POINT (2.15791 41.39993)",,,,,"41.39993","2.15791","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Gràcia","Barcelona","932914330","Plaça","Ajuntament de Barcelona"
"300","3","d'Aigüestortes, 12, baixos","Alta Ribagorça","25520","Alta Ribagorça","dones@ccar.ddl.net","POINT (0.74075 42.4123)",,,,,"42.4123","0.74075","Servei d'informació i atenció a les dones (SIAD) de l'Alta Ribagorça","El Pont de Suert","973690260","Carrer","Consell Comarcal de l'Alta Ribagorça"
,,"Catalunya, s/n","Tarragonès","43110","Tarragonès","ssocials@lacanonja.cat","POINT (0 0)",,,,,"0","0","Servei d'informació i atenció a les dones (SIAD) la Canonja","La Canonja","977546100","Plaça","Ajuntament de La Canonja"
"294","10","Palau, 8","Garrotxa","17800","Garrotxa","csans@casg.cat","POINT (2.49397 42.18312)",,,,,"42.18312","2.49397","Servei d'informació i atenció a les dones (SIAD) d'Olot-Garrotxa","Olot","972266644","Plaça","Consorci Acció Social de la Garrotxa"
"807","27","de Francesc Macià, 54","Garrigues","25400","Garrigues","siad@garrigues.cat","POINT (0.8765 41.51327)",,,,,"41.51327","0.8765","Servei d'informació i atenció a les dones (SIAD) de les Garrigues","Les Borges Blanques","973142658","Avinguda","Consell Comarcal de les Garrigues"
