":@computed_region_bh64_c7uy",":@computed_region_wvic_k925","adre_a","cp","denominaci","email","etrs89_x","etrs89_y","geocoded_column","geocoded_column_address","geocoded_column_city","geocoded_column_state","geocoded_column_zip","latitud","longitud","municipi","tel_fon","tipologia"
"326","1","Carrer Major, 36","25530","Servici d'Atencion Integrau en Aran","sai@aran.org","319314.42","4729870.72","POINT (0.79397 42.70009)",,,,,"42.70009","0.79397","Viella","973642560","Comarcal"
"227","41","Plaça de Lluís Companys","43870","Consell Comarcal del Montsià","salut.montsia@oficinajove.cat","295022.1","4509235.98","POINT (0.573500023 40.708550048)",,,,,"40.708550048","0.573500023","Amposta","977 704 371","Comarcal"
"512","29","Carrer Sepúlveda,148","8011","SAI Central","arealgbt.tsf@gencat.cat","429821.01","4581469.92","POINT (2.160687632 41.381693848)",,,,,"41.381693848","2.160687632","Barcelona","93 551 77 17","Departamental"
"900","19","Passeig Jaume Balmes,3","25200","Servei d'Atenció Integral per a persones LGBTI de la Segarra (comarcal)","sai@ccsegarra.cat","356424.82","4614667.98","POINT (1.275259976 41.670840034)",,,,,"41.670840034","1.275259976","Cervera","973531300","Comarcal"
"916","29","Pompeu Lab. Carrer de Pompeu Fabra,22","8921","SAI Santa Coloma de Gramenet (local)","lgtbi@gramenet.cat","433829.14","4589046.10","POINT (2.20779 41.45027)",,,,,"41.45027","2.20779","Santa Coloma de Gramenet","93 466 14 11","Local"
"880","17","Carrer Agoders,16","25300","Consell Comarcal de l'Urgell","sai@urgell.cat","345160.16","4612220.85","POINT (1.140639984 41.64669999)",,,,,"41.646699990","1.140639984","Tàrrega","973 500 707","Comarcal"
"197","36","Plaça Sant Roc,2","43740","Consell Comarcal Ribera d'Ebre","puntjove@riberaebre.org","303221.56","4551417.46","POINT (0.657119986 41.090219965)",,,,,"41.090219965","0.657119986","Mòra d'Ebre","977 40 18 51","Comarcal"
"682","26","Pablo Picasso,32. Centre Cívic Can Folguera","8130","SAI Santa Perpètua de Mogoda (local)","jorgepg@staperpetua.cat","432161.20","4598046.12","POINT (2.186809942 41.531189995)",,,,,"41.531189995","2.186809942","Santa Perpètua de Mogoda","93 560 42 05","Local"
"294","10","Plaça Palau,8","17800","Consorci d'Acció Social de la Garrotxa (comarcal)","sai@casg.cat","458205.19","4670242.62","POINT (2.493885386 42.183214643)",,,,,"42.183214643","2.493885386","Olot","972 26 66 44","Comarcal"
"412","34","Plaça Beatriu Claramunt,5-7","8871","Consell Comarcal del Garraf","sai@ccgarraf.cat","392254.39","4564335.88","POINT (1.714530031 41.223239982)",,,,,"41.223239982","1.714530031","Vilanova i la Geltrú","93 810 04 10","Comarcal"
"191","6","Carrer Nou,48","8208","Consell Comarcal de l'Alt Empordà","atenciolgtbi@altemporda.cat","496990.55","4679193.54","POINT (2.963509963 42.264940042)",,,,,"42.264940042","2.963509963","Figueres","972 677 050","Comarcal"
"875","21","Carrer del Canyeret","25007","Consell Comarcal del Segrià","arevenga@segria.cat","302375.27","4609964.64","POINT (0.627989985 41.616940023)",,,,,"41.616940023","0.627989985","Lleida","973 05 48 00","Comarcal"
"211","40","Carrer Barcelona,152","43500","Consell Comarcal del Baix Ebre","sai.lgtbi@baixebre.cat","291250.63","4519242.40","POINT (0.525554419 40.797663219)",,,,,"40.797663219","0.525554419","Tortosa","977 44 53 08","Comarcal"
"751","20","Plaça Pere Torrent. Biblioteca municipal 1er pis","17310","SAI Lloret de Mar (local)","igualtat@lloret.cat","487018.26","4616469.10","POINT (2.84398 41.6999)",,,,,"41.69990","2.84398","Lloret de Mar","972 347 172","Local"
"421","39","Plaça Patacada,9","43203","SAI Reus (local)","pads@reus.cat","340998.70","4557639.15","POINT (1.105027474 41.154501739)",,,,,"41.154501739","1.105027474","Reus","977 010 672","Local"
"227","41","Carrer de Ramon Salas,33","43870","SAI Terres de l'Ebre (Departamental)","ezzahra.ait@gencat.cat","295194.67","4509651.01","POINT (0.575405606 40.712328473)",,,,,"40.712328473","0.575405606","Amposta","977 594 053","Departamental"
"512","29","Carrer Albareda,2-4","8004","Barcelona - comarques (Departamental)","ramon.centellas@gencat.cat","430955.00","4580569.12","POINT (2.174350972 41.373678719)",,,,,"41.373678719","2.174350972","Barcelona","935 544 246","Comarcal"
"305","9","Carrer Peressall,5","25260","SAI - LGBTI Comarcal del Pallars Jussà","rcolomina@pallarsjussa.cat","326142.79","4670453.57","POINT (0.89526 42.16692)",,,,,"42.16692","0.89526","Tremp","973654818","Comarcal"
"421","39","Carrer Dr. Ferran,8","43202","Consell Comarcal del Baix Camp","sai@baixcamp.cat","340713.57","4557681.83","POINT (1.101619974 41.154830009)",,,,,"41.154830009","1.101619974","Reus","97 7327 155  Ext. 264","Comarcal"
