Id;addr:full;addr:street;addr:housenumber;addr:block;addr:floor;addr:housename;addr:postcode;addr:city;addr:place;latitud_v1;longitud_v1;latitud;longitud;estat
1;Avinguda de les Drassanes, 27, baixos;Avinguda de les Drassanes;27;;;;08001 ;Barcelona;;41,3769511;2,1721396;41,376752059;2,172207842;OK
2;Carrer d'Erasme de Janer, 8;Carrer d'Erasme de Janer;8;;;;08001 ;Barcelona;;41,3796986;2,1661711;41,380068324;2,16590685;OK
3;Carrer d'Erasme de Janer, 8, despatx 7;Carrer d'Erasme de Janer;8;;;;08001 ;Barcelona;;41,3796986;2,1661711;41,380068324;2,16590685;OK
4;Carrer de l'Om, 5, 1r 1a B;Carrer de l'Om;5;;1;;08001 ;Barcelona;;;;41,375995746;2,172330049;OK
5;Carrer de la Guàrdia, 14, baixos;Carrer de la Guàrdia;14;;;;08001 ;Barcelona;;;;0,0;0,0;KO
6;Carrer de les Tàpies, 6;Carrer de les Tàpies;6;;;;08001 ;Barcelona;;41,3771863;2,1716091;41,3771863;2,1716091;KO
7;Carrer de Sant Llàtzer, 6, 1r 1a;Carrer de Sant Llàtzer;6;;1;;08001 ;Barcelona;;;;0,0;0,0;KO
8;Carrer de Sant Pau, 82, baixos;Carrer de Sant Pau;82;;;;08001 ;Barcelona;;;;41,377240016;2,170051714;OK
9;Carrer del Carme, 16, principal;Carrer del Carme;16;;pral;;08001 ;Barcelona;;;;41,382592422;2,170813452;OK
10;Carrer del Carme, 34, pral. 1a;Carrer del Carme;34;;pral;;08001 ;Barcelona;;;;41,382162497;2,1699812;OK
11;Carrer Junta de Comerç, 17  entl.;Carrer Junta de Comerç;17;;entl;;08001 ;Barcelona;;;;0,0;0,0;KO
12;Carrer Junta de Comerç, 17, entl. 1a;Carrer Junta de Comerç;17;;entl;;08001 ;Barcelona;;;;0,0;0,0;KO
13;Carrer Lancaster, 5, 2n 1a;Carrer Lancaster;5;;2;;08001 ;Barcelona;;;;41,378524842;2,174188908;OK
14;Carrer Paloma, 23;Carrer Paloma;23;;;;08001 ;Barcelona;;;;41,381750957;2,163931744;OK
15;Carrer Regomir, 3 (C.C. Pati Llimona);Carrer Regomir;3;;;Centre Cívic Pati Llimona;08001 ;Barcelona;;;;41,381529418;2,178999274;OK
