"adre_a","artesania","codi_postal","coeducaci","comarca","comunicaci_societat_de_la","cultura_i_arts","demarcaci_territorial","diversitat_funcional","dones_grans","drets_humans_i_cooperaci","drets_sexuals_i_reproductius","ecofeminismes","economia_feminista","email","emprenedoria_i_direcci_d","esports","fax","inserci_laboral_i_ocupaci","interculturalitat_i_migraci","jur_dic_legal","lgtbi","lleure","m_n_rural","municipi","organisme","pensaments_feministes_i","promoci_d_activitats_i","salut","sororitat_i_ajuda_m_tua","tel_fon","tipus","treball_de_cura","treball_sexual","viol_ncies_masclistes","web"
"Pl. de les Escoles, 1 (Hotel d'Entitats)","No","08630","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","aacvg@hotmail.es","No","No",,"No","No","No","No","No","No","Abrera","Abrera Contra la Violència de Gènere","No","No","No","No","616 52 45 05","Associacions/grup","No","No","Sí","http://www.aabrera.com/html/public/entitats?id=189"
"C. Joan Miró, 7","Sí","08140","No","Vallès Oriental","No","Sí","Barcelona","No","No","No","No","No","No","acc@acciocivicacalderina.cat","No","No",,"No","No","No","No","Sí","No","Caldes de Montbui","Acció Cívica Calderina","No","No","No","No","609 725 794","Associacions/grup","No","No","No","http://www.acciocivicacalderina.cat"
"Pg. Fabra i Puig, 274 (Masia Can Basté)","No","08031","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","maromies@gmail.com;","No","No","93 412 39 96","No","No","No","No","No","No","Barcelona","Acció Contra la Violència Domèstica","No","No","No","No","93 357 51 11","Associacions/grup","No","No","Sí",
"C. del Carme, 34, pral. 1a","No","08001","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No","acesop786@yahoo.es","No","No",,"No","Sí","No","No","Sí","No","Barcelona","ACESOP (Associació Cultural-Educativa i Social-Operativa de Dones Pakistanís)","No","No","No","No","93 185 56 80","Associacions/grup","No","No","No","http://www.acesop.cat"
"C/Diputació, 185, entlo 2ª","No","08011","No","Barcelonès","No","No","Barcelona","No","No","No","Sí","No","No","gerencia.acord@acordlgtb.org","No","No",,"No","No","No","Sí","No","No","Barcelona","ACORD. Assessorament, Counselling, Orientació i Recursos per a Dones lesbianes de Barcelona","No","No","No","No","627 239 577","Associacions/grup","No","No","No","http://www.acordlgtb.org/inici.htm"
"Pg. 22 de juliol, 337 (Casal del Barri de Sant Pere)","No","08225","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No","activadona.terrassa@gmail.com; acostacarme@gmail.com","No","No",,"No","No","No","No","Sí","No","Terrassa","Activa Dona","No","No","No","Sí","670 426 813","Associacions/grup","No","No","No","http://associacions.terrassa.net/Detall_entitat/_HdmMJ-RwF758K5WBQMaO06r3ZcOghxER6dKF67bGf-pG7Na0KJjnpWQ4rn4rLfkc"
"C. de la Font, 10, 3r","No","08551","No","Osona","No","No","Barcelona","No","No","No","No","No","No","associaciodedoneshadar@gmail.com","No","No",,"No","No","No","No","No","No","Tona","ADAR, Associació de Dones de Tona","No","Sí","No","No","93 887 00 32","Associacions/grup","No","No","No","http://www.associaciodoneshadartona.blogspot.com.es
#http://associaciodoneshadartona.blogspot.com"
"Rambla de Poblenou, 90, 1r 4a","No","08005","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No","adesco@vozdemujer.org; asastre@vozdemujer.org","No","No",,"No","No","No","No","Sí","No","Barcelona","ADESCO - Associació per a la Cooperació i Desenvolupament de la Dona","No","No","No","No","93 667 59 06","Associacions/grup","No","No","No","http://www.vozdemujer.org"
"C. de Pau Marsal, 153, 5è 1a","No","08222","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No","adstterrassa@gmail.com","No","No",,"No","Sí","No","No","No","No","Terrassa","Adst (Amical de les Dones Senegaleses de Terrassa)","No","No","No","Sí","605 448 773","Associacions/grup","No","No","No",
"Av. Vilafranca, 26","No","08800","No","Garraf","No","Sí","Barcelona","No","No","No","No","No","No","rcatala@vilanova.cat","No","No",,"No","Sí","No","No","No","No","Vilanova i la Geltrú","Afak","No","No","No","No","93 814 000","Associacions/grup","No","No","No",
"Ramón i Cajal, 17","No","43580","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","adas.donesagentsdesalut@gmail.com;adas@tinet.cat","No","No",,"No","No","No","No","No","No","Deltebre","AFIDE","No","No","Sí","No","630 878 293","Associacions/grup","No","No","No",
"C. Torregrossa, 37 (Can Muntanyola)","Sí","08480","No","Vallès Oriental","No","No","Barcelona","No","No","No","No","No","No","conchitatorrent@hotmail.com","No","No","93 843 23 13","No","No","No","No","Sí","No","L'Ametlla del Vallès","Agrupació Cultural de Dones de l'Ametlla del Vallès","No","No","No","No","93 843 28 58","Associacions/grup","No","No","No","http://www.ametlla.org/index.php?tipus=5&info=175"
"C. del Requet, s/n","No","43764","No","Tarragonès","No","No","Tarragona","No","No","Sí","No","No","No","donescatllar@live.com","No","No","977 65 37 35","No","No","No","No","No","No","El Catllar","Agrupació de Dones de Catllar","No","No","No","No","977 65 31 31","Associacions/grup","No","No","No",
"Pl. Poblet i Teixidó, 10, 1r esq.","Sí","43400","No","Conca de Barberà","No","No","Tarragona","No","No","No","No","No","No","adomontdones@hotmail.com","No","No","977 86 13 39","No","No","No","No","Sí","No","Montblanc","Agrupació de Dones de Montblanc Adomont","No","No","No","Sí","669867523","Associacions/grup","No","No","No","http://webfacil.tinet.cat/adomont"
"Roger de Llúria, 44 3er 3ª","No","08009","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","secretaria@unae.cat","No","No","93 412 72 57","No","No","No","No","No","No","Barcelona","Agrupació de Mestresses de Casa de Barcelona i Província","No","Sí","No","No","93 301 26 27","Associacions/grup","No","No","No","http://www.unae.cat/index.php"
"Gran Via de l'Hospitalet, 37 local","No","08908","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","avic@telefonica.net","No","No",,"No","No","No","No","No","No","L'Hospitalet de Llobregat","Agrupació de Veïns Ildefons Cerdà. Vocalia de la Dona","No","No","No","No",,"Associacions/grup","No","No","No",
"Camí del Baell, s/n","No","25289","No","Alt Urgell","No","No","Lleida","No","No","No","No","No","No","agrupamentbaixariberasalada@gmail.com","No","No",,"No","No","No","No","Sí","No","Bassella","Agrupament Baixa Ribera Salada","No","No","No","No","639061168","Associacions/grup","No","No","No",
"Rbla. Prim, 87-89","No","08019","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","pdcbesosmaresme@enxarxa.org","No","No",,"No","Sí","No","No","No","No","Barcelona","Al Amal (Esperanza) Asociación de Mujeres Magrebies en el Besòs","No","No","No","No","639 56 12 99","Associacions/grup","No","No","No",
"Rbla. de Guipúscoa, 62, 2n 1a","No","08020","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","alba@grupslactancia.org","No","No",,"No","No","No","No","No","No","Barcelona","Alba Lactància Materna","No","No","Sí","Sí","616 466 844","Associacions/grup","Sí","No","No","http://albalactanciamaterna.org/"
"C. Jaume Solà, s/n (Casal de Mares i Pares)","No","08911","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","consultes@albalactanciamaterna.org","No","No",,"No","No","No","No","No","No","Badalona","Alba Lactància Materna (Badalona)","No","No","Sí","Sí","690144500","Associacions/grup","Sí","No","No",
"C. Comerç, 36","No","08003","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","alba@grupslactancia.org","No","No",,"No","No","No","No","No","No","Barcelona","Alba Lactància Materna (Ciutat Vella)","No","No","Sí","Sí","606 644 359","Associacions/grup","Sí","No","No","http://albalactanciamaterna.org/grupos/"
"C. Gran de Sant Andreu, 111 (Centre Cívic Sant Andreu)","No","08030","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","consultes@albalactanciamaterna.org","No","No",,"No","No","No","No","No","No","Barcelona","Alba Lactància Materna (Sant Andreu)","No","No","Sí","Sí","690 144 500","Associacions/grup","Sí","No","No","http://albalactanciamaterna.org/"
"C. Selva de Mar, 215, 6a planta, taller 6","No","08020","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","alba@lactapp.es","No","No",,"No","No","No","No","No","No","Barcelona","Alba Lactància Materna (Sant Martí)","No","No","Sí","Sí","606 644 359","Associacions/grup","Sí","No","No","http://albalactanciamaterna.org/"
"Gran Via de les Corts Catalanes, 181-247 (Centre Cívic Magòria)","No","08014","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","consultes@albalactanciamaterna.org","No","No",,"No","No","No","No","No","No","Barcelona","Alba Lactància Materna (Sants)","No","No","Sí","Sí","610 863 170/ 690 144 500","Associacions/grup","Sí","No","No","http://www.albalactanciamaterna.org"
"C. Bisbe Lorenzana, 15 (Institut Municipal de Promoció de la Ciutat)","No","17800","No","Garrotxa","No","No","Girona","No","No","No","No","No","No","alba.donesgarrotxa@gmail.com","No","No","972 27 05 43","No","No","No","No","Sí","No","Olot","Alba. Associació de Dones de la Garrotxa","No","Sí","No","No","606328268","Associacions/grup","No","No","No","https://albadonesgarrotxa.wordpress.com/"
"C. Majo, 14E","No","43813","No","Alt Camp","No","No","Tarragona","No","No","No","No","No","No","grupalletaricriar@gmail.com","No","No",,"No","No","No","No","No","No","Fontsacaldes (Valls)","Alletar i Criar","No","No","No","No","625 97 95 01","Associacions/grup","Sí","No","No","http://alletaricriar.blogspot.com.es/"
"Passeig de Sant Joan, 44, 4t 2a","No","08010","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","info@almenafeminista.org","No","No",,"No","No","No","No","No","No","Barcelona","Almena Cooperativa Feminista, SCCL","No","No","No","No","627945591","Associacions/grup","No","No","No","https://almenafeminista.org/"
"C. de la Comtessa Pardo Bazán, 4- 6, Local","No","08027","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","francisca.maya@gitanos.org; direccioncat@gitanos.org; carmen.mendez@gitanos.org","No","No","93 274 55 83","Sí","Sí","No","No","No","No","Barcelona","Amalipen, Grup de Dones de la Fundación Secretariado Gitano","No","No","No","No","93 274 55 82","Associacions/grup","No","No","No","http://www.gitanos.org"
"C. Camprodon, 57, 1r","No","17401","Sí","Selva","No","No","Girona","No","No","No","No","No","No","info@ambarassociacio.org","No","No",,"No","No","No","No","No","No","Arbúcies","Àmbar, Associació Contra el Maltractament","No","No","Sí","No","672 03 94 72","Associacions/grup","No","No","Sí","http://www.ambarassociacio.org"
"C. Sant Germà, 5, 1r 2a","No","08036","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","info@fambitprevencio.org","No","No",,"No","Sí","No","No","No","No","Barcelona","Àmbit Prevenció","No","No","Sí","No","93 237 13 76","Associacions/grup","No","No","No","http://www.fambitprevencio.org/"
"Pl Doctor Ignasi Barraquer, 0006","No","08029","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No","info@amicalravensbruck.org","No","No","932681860","No","No","No","No","No","No","Barcelona","Amics de Ravensbrück","No","No","No","No","933196637","Associacions/grup","No","No","No","http://www.amicalravensbruck.org"
