"","name","addr:street","addr:city","addr:postcode","contact:phone","latitude","longitude","amenity","social_facility:for","source","source:date"
"1","Servici d'Atencion Integrau en Aran","Carrer Major, 36","Viella",25530,"973642560",42.70009,0.79397,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"2","Consell Comarcal del Montsià","Plaça de Lluís Companys","Amposta",43870,"977 704 371",40.708550048,0.573500023,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"3","SAI Central","Carrer Sepúlveda,148","Barcelona",8011,"93 551 77 17",41.381693848,2.160687632,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"4","Servei d'Atenció Integral per a persones LGBTI de la Segarra (comarcal)","Passeig Jaume Balmes,3","Cervera",25200,"973531300",41.670840034,1.275259976,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"5","SAI Santa Coloma de Gramenet (local)","Pompeu Lab. Carrer de Pompeu Fabra,22","Santa Coloma de Gramenet",8921,"93 466 14 11",41.45027,2.20779,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"6","Consell Comarcal de l'Urgell","Carrer Agoders,16","Tàrrega",25300,"973 500 707",41.64669999,1.140639984,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"7","Consell Comarcal Ribera d'Ebre","Plaça Sant Roc,2","Mòra d'Ebre",43740,"977 40 18 51",41.090219965,0.657119986,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"8","SAI Santa Perpètua de Mogoda (local)","Pablo Picasso,32. Centre Cívic Can Folguera","Santa Perpètua de Mogoda",8130,"93 560 42 05",41.531189995,2.186809942,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"9","Consorci d'Acció Social de la Garrotxa (comarcal)","Plaça Palau,8","Olot",17800,"972 26 66 44",42.183214643,2.493885386,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"10","Consell Comarcal del Garraf","Plaça Beatriu Claramunt,5-7","Vilanova i la Geltrú",8871,"93 810 04 10",41.223239982,1.714530031,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"11","Consell Comarcal de l'Alt Empordà","Carrer Nou,48","Figueres",8208,"972 677 050",42.264940042,2.963509963,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"12","Consell Comarcal del Segrià","Carrer del Canyeret","Lleida",25007,"973 05 48 00",41.616940023,0.627989985,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"13","Consell Comarcal del Baix Ebre","Carrer Barcelona,152","Tortosa",43500,"977 44 53 08",40.797663219,0.525554419,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"14","SAI Lloret de Mar (local)","Plaça Pere Torrent. Biblioteca municipal 1er pis","Lloret de Mar",17310,"972 347 172",41.6999,2.84398,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"15","SAI Reus (local)","Plaça Patacada,9","Reus",43203,"977 010 672",41.154501739,1.105027474,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"16","SAI Terres de l'Ebre (Departamental)","Carrer de Ramon Salas,33","Amposta",43870,"977 594 053",40.712328473,0.575405606,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"17","Barcelona - comarques (Departamental)","Carrer Albareda,2-4","Barcelona",8004,"935 544 246",41.373678719,2.174350972,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"18","SAI - LGBTI Comarcal del Pallars Jussà","Carrer Peressall,5","Tremp",25260,"973654818",42.16692,0.89526,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"19","Consell Comarcal del Baix Camp","Carrer Dr. Ferran,8","Reus",43202,"97 7327 155  Ext. 264",41.154830009,1.101619974,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
