"","name","contact:phone","contact:email","contact:website","description","amenity","social_facility:for","source","source:date","Id","addr:street","addr:housenumber","addr:block","addr:floor","addr:housename","addr:postcode","addr:city","addr:place","latitud","longitud"
"1","Abrera Contra la Violència de Gènere","+34 616 52 45 05","aacvg@hotmail.es","http://www.aabrera.com/html/public/entitats?id=189",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",392,"Plaça de les Escoles","1",NA,NA,"Hotel d'Entitats","08630","Abrera",NA,"0","0"
"2","Acció Cívica Calderina","+34 609 725 794","acc@acciocivicacalderina.cat","http://www.acciocivicacalderina.cat","artesania; cultura i arts; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",253,"Carrer Joan Miró","7",NA,NA,NA,"08140","Caldes de Montbui",NA,"0","0"
"3","Acció Contra la Violència Domèstica","+34 93 357 51 11","maromies@gmail.com;","",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",209,"Passeig Fabra i Puig","274",NA,NA,"Centre Cívic Can Basté","08031","Barcelona",NA,"41,430456503","2,173216157"
"4","ACESOP (Associació Cultural-Educativa i Social-Operativa de Dones Pakistanís)","+34 93 185 56 80","acesop786@yahoo.es","http://www.acesop.cat","cultura i arts; interculturalitat i migració; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",10,"Carrer del Carme","34",NA,"pral",NA,"08001","Barcelona",NA,"41,382162497","2,1699812"
"5","ACORD. Assessorament, Counselling, Orientació i Recursos per a Dones lesbianes de Barcelona","+34 627 239 577","gerencia.acord@acordlgtb.org","http://www.acordlgtb.org/inici.htm","drets sexuals i reproductius; lgtbi","social_facility","woman","Generalitat de Catalunya","2019-03-29",100,"Carrer Diputació","185",NA,"entl",NA,"08011","Barcelona",NA,"41,385341363","2,160142254"
"6","Activa Dona","+34 670 426 813","activadona.terrassa@gmail.com; acostacarme@gmail.com","http://associacions.terrassa.net/Detall_entitat/_HdmMJ-RwF758K5WBQMaO06r3ZcOghxER6dKF67bGf-pG7Na0KJjnpWQ4rn4rLfkc","lleure; sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",292,"Passeig 22 de juliol","337",NA,NA,"Casal del Barri de Sant Pere","08225","Terrassa",NA,"41,570192193","2,011848443"
"7","ADAR, Associació de Dones de Tona","+34 93 887 00 32","associaciodedoneshadar@gmail.com","http://www.associaciodoneshadartona.blogspot.com.es
#http://associaciodoneshadartona.blogspot.com","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",378,"Carrer de la Font","10",NA,"3",NA,"08551","Tona",NA,"41,850043708","2,229161516"
"8","ADESCO - Associació per a la Cooperació i Desenvolupament de la Dona","+34 93 667 59 06","adesco@vozdemujer.org; asastre@vozdemujer.org","http://www.vozdemujer.org","cultura i arts; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",64,"Rambla de Poblenou","90",NA,"1",NA,"08005","Barcelona",NA,"41,402002353","2,200210329"
"9","Adst (Amical de les Dones Senegaleses de Terrassa)","+34 605 448 773","adstterrassa@gmail.com","","interculturalitat i migració; sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",285,"Carrer de Pau Marsal","153",NA,"5",NA,"08222","Terrassa",NA,"41,560865908","2,027025116"
"10","Afak","+34 93 814 000","rcatala@vilanova.cat","","cultura i arts; interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",429,"Avinguda Vilafranca","26",NA,NA,NA,"08800","Vilanova i la Geltrú",NA,"41,234297387","1,726882022"
"11","AFIDE","+34 630 878 293","adas.donesagentsdesalut@gmail.com;adas@tinet.cat","","salut","social_facility","woman","Generalitat de Catalunya","2019-03-29",949,"Ramón i Cajal","17",NA,NA,NA,"43580","Deltebre",NA,"0","0"
"12","Agrupació Cultural de Dones de l'Ametlla del Vallès","+34 93 843 28 58","conchitatorrent@hotmail.com","http://www.ametlla.org/index.php?tipus=5&info=175","artesania; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",362,"Carrer Torregrossa","37",NA,NA,"Can Muntanyola","08480","L'Ametlla del Vallès",NA,"0","0"
"13","Agrupació de Dones de Catllar","+34 977 65 31 31","donescatllar@live.com","","drets humans i cooperació","social_facility","woman","Generalitat de Catalunya","2019-03-29",981,"Carrer del Requet","s/n",NA,NA,NA,"43764","El Catllar",NA,"0","0"
"14","Agrupació de Dones de Montblanc Adomont","+34 669867523","adomontdones@hotmail.com","http://webfacil.tinet.cat/adomont","artesania; lleure; sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",901,"Plaça Poblet i Teixidó","10",NA,"1",NA,"43400","Montblanc",NA,"0","0"
"15","Agrupació de Mestresses de Casa de Barcelona i Província","+34 93 301 26 27","secretaria@unae.cat","http://www.unae.cat/index.php","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",92,"Carrer Roger de Llúria","44",NA,"3",NA,"08009","Barcelona",NA,"0","0"
"16","Agrupació de Veïns Ildefons Cerdà. Vocalia de la Dona","+34 ","avic@telefonica.net","",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",476,"Gran Via de l'Hospitalet","37",NA,NA,NA,"08908","L'Hospitalet de Llobregat",NA,"41,361635219","2,132177409"
"17","Agrupament Baixa Ribera Salada","+34 639061168","agrupamentbaixariberasalada@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",746,"Camí del Baell","s/n",NA,NA,NA,"25289","Bassella",NA,"0","0"
"18","Al Amal (Esperanza) Asociación de Mujeres Magrebies en el Besòs","+34 639 56 12 99","pdcbesosmaresme@enxarxa.org","","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",144,"Rambla de Prim","87-89",NA,NA,NA,"08019","Barcelona",NA,"41,427959284","2,197817871"
"19","Alba Lactància Materna","+34 616 466 844","alba@grupslactancia.org","http://albalactanciamaterna.org/","salut; sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",151,"Rambla de Guipúscoa","62",NA,"2",NA,"08020","Barcelona",NA,"41,415932666","2,196887259"
"20","Alba Lactància Materna (Badalona)","+34 690144500","consultes@albalactanciamaterna.org","","salut; sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",477,"Carrer Jaume Solà","s/n",NA,NA,"Casal de Mares i Pares","08911","Badalona",NA,"41,449952686","2,24435021"
"21","Alba Lactància Materna (Ciutat Vella)","+34 606 644 359","alba@grupslactancia.org","http://albalactanciamaterna.org/grupos/","salut; sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",43,"Carrer Comerç","36",NA,NA,NA,"08003","Barcelona",NA,"0","0"
"22","Alba Lactància Materna (Sant Andreu)","+34 690 144 500","consultes@albalactanciamaterna.org","http://albalactanciamaterna.org/","salut; sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",200,"Carrer Gran de Sant Andreu","111",NA,NA,"Centre Cívic Sant Andreu","08030","Barcelona",NA,"41,430844934","2,189396575"
"23","Alba Lactància Materna (Sant Martí)","+34 606 644 359","alba@lactapp.es","http://albalactanciamaterna.org/","salut; sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",150,"Carrer Selva de Mar","215",NA,"6",NA,"08020","Barcelona",NA,"41,416623907","2,198564642"
"24","Alba Lactància Materna (Sants)","+34 610 863 170/ 690 144 500","consultes@albalactanciamaterna.org","http://www.albalactanciamaterna.org","salut; sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",114,"Gran Via de les Corts Catalanes","181-247",NA,NA,"Centre Cívic Magòria","08014","Barcelona",NA,"41,369152833","2,140872117"
"25","Alba. Associació de Dones de la Garrotxa","+34 606328268","alba.donesgarrotxa@gmail.com","https://albadonesgarrotxa.wordpress.com/","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",616,"Carrer Bisbe Lorenzana","15",NA,NA,"Institut Municipal de Promoció de la Ciutat","17800","Olot",NA,"42,18134591","2,491112953"
"26","Alletar i Criar","+34 625 97 95 01","grupalletaricriar@gmail.com","http://alletaricriar.blogspot.com.es/",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",1009,"Carrer Major","14E",NA,NA,NA,"43813","Fontsacaldes (Valls)",NA,"0","0"
"27","Almena Cooperativa Feminista, SCCL","+34 627945591","info@almenafeminista.org","https://almenafeminista.org/",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",97,"Passeig de Sant Joan","44",NA,"4",NA,"08010","Barcelona",NA,"41,393704012","2,177548088"
"28","Amalipen, Grup de Dones de la Fundación Secretariado Gitano","+34 93 274 55 82","francisca.maya@gitanos.org; direccioncat@gitanos.org; carmen.mendez@gitanos.org","http://www.gitanos.org","inserció laboral i ocupació; interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",176,"Carrer de la Comtessa Pardo Bazán","4- 6",NA,NA,NA,"08027","Barcelona",NA,"0","0"
"29","Àmbar, Associació Contra el Maltractament","+34 672 03 94 72","info@ambarassociacio.org","http://www.ambarassociacio.org","coeducació; salut","social_facility","woman","Generalitat de Catalunya","2019-03-29",594,"Carrer Camprodon","57",NA,"1",NA,"17401","Arbúcies",NA,"0","0"
"30","Àmbit Prevenció","+34 93 237 13 76","info@fambitprevencio.org","http://www.fambitprevencio.org/","interculturalitat i migració; salut","social_facility","woman","Generalitat de Catalunya","2019-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
