"","name","tipus_de_via","adre_a","addr:postcode","addr:city","contact:phone","contact:email","operator","latitude","longitude","amenity","social_facility:for","source","source:date"
"1","Oficina d'informació de l'Institut Català de les Dones a Barcelona","Plaça","Pere Coromines, 1",8001,"Barcelona","934951600","icd@gencat.cat","Generalitat de Catalunya",41.377354,2.1717,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"2","Servei d'informació i atenció a les dones (SIAD) de Figueres","Carrer","Poeta Marquina, 2 (Edifici de l'Antic Registre)",17600,"Figueres","972513808","siad@figueres.org","Ajuntament de Figueres",42.26605,2.95641,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"3","Servei d'informació i atenció a les dones (SIAD) de Castelldefels","Carrer","Església, 117 baixos",8860,"Castelldefels","936651150 ext. 504","igualtat@castelldefels.org","Ajuntament de Castelldefels",41.28762,1.98504,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"4","Servei d'informació i atenció a les dones (SIAD) de Santa Cristina d'Aro","Passatge","Pompeu Fabra, 2",17246,"Santa Cristina d'Aro","972837391","igualtat@santacristina.net","Ajuntament de Santa Cristina d'Aro",41.79001,3.02541,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"5","Servei d'informació i atenció a les dones (SIAD) d'Esplugues de Llobregat","Carrer","Sant Francesc Xavier, 1",8950,"Esplugues de Llobregat","933713350","apastor@esplugues.cat","Ajuntament d'Esplugues de Llobregat",41.3746,2.08533,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"6","Servei d'informació i atenció a les dones (SIAD) de Vilafranca del Penedès","Plaça","Penedès, 3, 2n pis",8720,"Vilafranca del Penedès","938903218","casaligualtat@vilafranca.org","Ajuntament de Vilafranca del Penedès",41.34404,1.69945,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"7","Servei d'informació i atenció a les dones (SIAD) de Martorelles","Carrer","de l'Església, 1, baixos",8107,"Martorelles","935701252","serveissocials@martorelles.cat","Ajuntament de Martorelles",41.64018,2.40511,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"8","Servei d'informació i atenció a les dones (SIAD) de Barberà del Vallès","Plaça","de la vila, 1, baixos dreta",8210,"Barberà del Vallès","937297171","carozm@bdv.cat","Ajuntament de Barberà del Vallès",41.55746,2.1562,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"9","Servei d'informació i atenció a les dones (SIAD) de les Franqueses del Vallès","Carrer","Aragó, 24",8520,"Les franqueses del Vallès","938465862","marta.fuertes@lesfranqueses.cat","Ajuntament de les Franqueses del Vallès",41.618,2.29483,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"10","Servei d'informació i atenció a les dones (SIAD) de Castellar del Vallès","Plaça","Major, s/n (Edifici Mirador)",8211,"Castellar del Vallès","937144040","eminguell@castellarvalles.cat","Ajuntament de Castellar del Vallès",41.61636,2.08624,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"11","Servei d'informació i atenció a les dones (SIAD) de Sant Pere de Ribes","Plaça","de la Vinya d'en Petaca, s/n. Ajuntament de Les Roquetes",8812,"Les Roquetes. Sant Pere de Ribes","938109268","siad@santperederibes.cat","Ajuntament de Sant Pere de Ribes",41.2266,1.74818,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"12","Servei d'informació i atenció a les dones (SIAD) d'Olesa de Montserrat","Parc","Municipal, s/n (Edifici Cal Mané)",8640,"Olesa de Montserrat","937780050","aj147.cird@olesam.cat","Ajuntament d'Olesa de Montserrat",41.54517,1.89134,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"13","Servei d'informació i atenció a les dones (SIAD) del Priorat","Plaça","de la Quartera, 1",43730,"Falset","977830119","siad@priorat.cat","Consell Comarcal del Priorat",41.14652,0.82035,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"14","Servei d'informació i atenció a les dones (SIAD) del Pla de l'Estany","Carrer","Pere Alsius, 10, 1r",17820,"Banyoles","972580388","siad@cbsplaestany.cat","Consorci de Benestar Social Pla de l'Estany - Banyoles",42.11604,2.76381,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"15","Servei d'informació i atenció a les dones (SIAD) de Sant Vicenç dels Horts","Carrer","Claverol, 6-8, 1a planta (Edifici de la Foneria)",8620,"Sant Vicenç dels Horts","936029216","igualtat@svh.cat","Ajuntament de Sant Vicenç dels Horts",41.38807,2.00797,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"16","Servei d'informació i atenció a les dones (SIAD) del Masnou","Plaça","de la Llibertat (Espai El Casinet)",8320,"El Masnou","935571870","igualtat@elmasnou.cat","Ajuntament d'El Masnou",41.47913,2.3182,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"17","Servei d'informació i atenció a les dones (SIAD) del Pallars Jussà","Carrer","de Soldevila, 18",25620,"Tremp","973650187","siad@pallarsjussa.cat","Consell Comarcal del Pallars Jussà",42.16636,0.89478,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"18","Servei d'informació i atenció a les dones (SIAD) de l'Alt Penedès","Carrer","Hermenegild Clascar, 1-3",8720,"Vilafranca del Penedès","938900000","ssocials@ccapenedes.cat","Consell Comarcal de l'Alt Penedès",41.34598,1.69626,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"19","Servei d'informació i atenció a les dones (SIAD) de Berga","Carrer","Voltes de Claris, 12",8600,"Berga","938215331","puntdona@ajberga.cat","Ajuntament de Berga",42.10439,1.84699,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"20","Servei d'informació i atenció a les dones (SIAD) de Ripollet","Carrer","Balmes, 2, planta baixa",8291,"Ripollet","935046040","siad@ripollet.cat","Ajuntament de Ripollet",41.49649,2.15347,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"21","Servei d'informació i atenció a les dones (SIAD) de Calafell","Carrer","Lluís Companys, 57, baixos",43820,"Calafell","977699009","siad@calafell.org","Ajuntament de Calafell",41.19219,1.60666,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"22","Servei d'informació i atenció a les dones (SIAD) del Baix Empordà","Plaça","Joan Carreras i Dagas, 1",17100,"La Bisbal d'Empordà","972642310","siad@baixemporda.cat","Consell Comarcal del Baix Empordà",41.95793,3.03848,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
