ref;name;addr:street;addr:housenumber;addr:postcode;addr:city;latitude;longitude;contact:phone;description;amenity;social_facility:for;source;source:date
99400010755;Punt d'Informació i Atenció a les Dones de l'Eixample;Carrer de Calàbria;264;08029;BARCELONA;41.387183;2.145349;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
99400026680;Punt d'Informació i Atenció a les Dones d'Horta-Guinardó;Carrer de Arenys;75;08035;BARCELONA;41.42255;2.14465;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
99400029777;Punt d'Informació i Atenció a les Dones de Les Corts;Plaça de Comas;18;08028;BARCELONA;41.385644;2.12978;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
99400029783;Punt d'Informació i Atenció a les Dones de Nou Barris;Plaça Major de Nou Barris;1;08042;BARCELONA;41.436844;2.171238;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
99400097445;Punt d'Informació i Atenció a les Dones de Gràcia;Plaça de la Vila de Gràcia;2;08012;BARCELONA;41.4;2.157879;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
99400098262;Punt d'Informació i Atenció a les Dones de Sant Martí;Gran Via de les Corts Catalanes;837;08018;BARCELONA;41.404946;2.188469;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
99400146163;Punt d'Informació i Atenció a les Dones de Sants-Montjuïc;Pas Fructuós Gelabert;2;08014;BARCELONA;41.375227;2.136551;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
99400169396;Punt d'Informació i Atenció a les Dones de Sarrià-Sant Gervasi;Plaça del Consell de la Vila;7;08034;BARCELONA;41.399129;2.12142;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
99400169820;Punt d'Informació i Atenció a les Dones de Ciutat Vella;Carrer Nou de la Rambla;45;08001;BARCELONA;41.377328;2.172506;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
99400179083;Punt d'Informació i Atenció a les Dones de Sant Andreu;Carrer de la Foradada;36;08033;BARCELONA;41.45165;2.191212;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
99400399663;Punt d'Informació i Atenció a les Dones de Nou Barris Zona Nord;Avinguda Rasos de Peguera;25;08033;BARCELONA;41.461167;2.17797;+34 936 197311;Horari per demanar cita prèvia presencialment: dilluns a divendres de 09:00 a 14:00 i dilluns a dijous de 16:00 a 19:00;social_facility;woman;Ajuntament de Barcelona;2019-01-29
