;name;addr:full;addr:street;addr:housenumber;addr:housename;addr:floor;addr:postcode;addr:city;contact:phone;contact:email;operator;latitude;longitude;amenity;social_facility:for;source;source:date
1;Oficina d'informació de l'Institut Català de les Dones a Barcelona;Plaça Pere Coromines, 1;Plaça Pere Coromines;1;;;08001;Barcelona;+34 934 951600 ;icd@gencat.cat;Generalitat de Catalunya;41,377354;2,1717;social_facility;woman;Generalitat de Catalunya;2018-05-03
2;Servei d'informació i atenció a les dones (SIAD) de Figueres;Carrer Poeta Marquina, 2 (Edifici de l'Antic Registre);Carrer Poeta Marquina;2;Edifici de l'Antic Registre;;17600;Figueres;+34 972 513808 ;siad@figueres.org;Ajuntament de Figueres;42,26605;2,95641;social_facility;woman;Generalitat de Catalunya;2018-05-03
3;Servei d'informació i atenció a les dones (SIAD) de Castelldefels;Carrer Església, 117 baixos;Carrer Església;117;;Baixos;08860;Castelldefels;+34 936 651150  (ext 504);igualtat@castelldefels.org;Ajuntament de Castelldefels;41,28762;1,98504;social_facility;woman;Generalitat de Catalunya;2018-05-03
4;Servei d'informació i atenció a les dones (SIAD) de Santa Cristina d'Aro;Passatge Pompeu Fabra, 2;Passatge Pompeu Fabra;2;;;17246;Santa Cristina d'Aro;+34 972 837391 ;igualtat@santacristina.net;Ajuntament de Santa Cristina d'Aro;41,79001;3,02541;social_facility;woman;Generalitat de Catalunya;2018-05-03
5;Servei d'informació i atenció a les dones (SIAD) d'Esplugues de Llobregat;Carrer Sant Francesc Xavier, 1;Carrer Sant Francesc Xavier;1;;;08950;Esplugues de Llobregat;+34 933 713350 ;apastor@esplugues.cat;Ajuntament d'Esplugues de Llobregat;41,3746;2,08533;social_facility;woman;Generalitat de Catalunya;2018-05-03
6;Servei d'informació i atenció a les dones (SIAD) de Vilafranca del Penedès;Plaça Penedès, 3, 2n pis;Plaça Penedès;3;;2;08720;Vilafranca del Penedès;+34 938 903218 ;casaligualtat@vilafranca.org;Ajuntament de Vilafranca del Penedès;41,34404;1,69945;social_facility;woman;Generalitat de Catalunya;2018-05-03
7;Servei d'informació i atenció a les dones (SIAD) de Martorelles;Carrer de l'Església, 1, baixos;Carrer de l'Església;1;;Baixos;08107;Martorelles;+34 935 701252 ;serveissocials@martorelles.cat;Ajuntament de Martorelles;41,64018;2,40511;social_facility;woman;Generalitat de Catalunya;2018-05-03
8;Servei d'informació i atenció a les dones (SIAD) de Barberà del Vallès;Plaça de la vila, 1, baixos dreta;Plaça de la vila;1;;Baixos dreta;08210;Barberà del Vallès;+34 937 297171 ;carozm@bdv.cat;Ajuntament de Barberà del Vallès;41,5155538;2,1248544;social_facility;woman;Generalitat de Catalunya;2018-05-03
9;Servei d'informació i atenció a les dones (SIAD) de les Franqueses del Vallès;Carrer Aragó, 24;Carrer Aragó;24;;;08520;Les franqueses del Vallès;+34 938 465862 ;marta.fuertes@lesfranqueses.cat;Ajuntament de les Franqueses del Vallès;41,618;2,29483;social_facility;woman;Generalitat de Catalunya;2018-05-03
10;Servei d'informació i atenció a les dones (SIAD) de Castellar del Vallès;Plaça Major, s/n (Edifici Mirador);Plaça Major;s/n;Edifici Mirador;;08211;Castellar del Vallès;+34 937 144040 ;eminguell@castellarvalles.cat;Ajuntament de Castellar del Vallès;41,61636;2,08624;social_facility;woman;Generalitat de Catalunya;2018-05-03
11;Servei d'informació i atenció a les dones (SIAD) de Sant Pere de Ribes;Plaça de la Vinya d'en Petaca, s/n. Ajuntament de Les Roquetes;Plaça de la Vinya d'en Petaca;s/n;Ajuntament de Les Roquetes;;08812;Les Roquetes. Sant Pere de Ribes;+34 938 109268 ;siad@santperederibes.cat;Ajuntament de Sant Pere de Ribes;41,2266;1,74818;social_facility;woman;Generalitat de Catalunya;2018-05-03
12;Servei d'informació i atenció a les dones (SIAD) d'Olesa de Montserrat;Parc Municipal, s/n (Edifici Cal Mané);Parc Municipal;s/n;Edifici Cal Mané;;08640;Olesa de Montserrat;+34 937 780050 ;aj147.cird@olesam.cat;Ajuntament d'Olesa de Montserrat;41,54517;1,89134;social_facility;woman;Generalitat de Catalunya;2018-05-03
13;Servei d'informació i atenció a les dones (SIAD) del Priorat;Plaça de la Quartera, 1;Plaça de la Quartera;1;;;43730;Falset;+34 977 830119 ;siad@priorat.cat;Consell Comarcal del Priorat;41,14652;0,82035;social_facility;woman;Generalitat de Catalunya;2018-05-03
14;Servei d'informació i atenció a les dones (SIAD) del Pla de l'Estany;Carrer Pere Alsius, 10, 1r;Carrer Pere Alsius;10;;1;17820;Banyoles;+34 972 580388 ;siad@cbsplaestany.cat;Consorci de Benestar Social Pla de l'Estany - Banyoles;42,11604;2,76381;social_facility;woman;Generalitat de Catalunya;2018-05-03
15;Servei d'informació i atenció a les dones (SIAD) de Sant Vicenç dels Horts;Carrer Claverol, 6-8, 1a planta (Edifici de la Foneria);Carrer Claverol;6-8;Edifici de la Foneria;1;08620;Sant Vicenç dels Horts;+34 936 029216 ;igualtat@svh.cat;Ajuntament de Sant Vicenç dels Horts;41,38807;2,00797;social_facility;woman;Generalitat de Catalunya;2018-05-03
16;Servei d'informació i atenció a les dones (SIAD) del Masnou;Plaça de la Llibertat (Espai El Casinet);Plaça de la Llibertat;;;;08320;El Masnou;+34 935 571870 ;igualtat@elmasnou.cat;Ajuntament d'El Masnou;41,47913;2,3182;social_facility;woman;Generalitat de Catalunya;2018-05-03
17;Servei d'informació i atenció a les dones (SIAD) del Pallars Jussà;Carrer de Soldevila, 18;Carrer de Soldevila;18;;;25620;Tremp;+34 973 650187 ;siad@pallarsjussa.cat;Consell Comarcal del Pallars Jussà;42,16636;0,89478;social_facility;woman;Generalitat de Catalunya;2018-05-03
18;Servei d'informació i atenció a les dones (SIAD) de l'Alt Penedès;Carrer Hermenegild Clascar, 1-3;Carrer Hermenegild Clascar;1-3;;;08720;Vilafranca del Penedès;+34 938 900000 ;ssocials@ccapenedes.cat;Consell Comarcal de l'Alt Penedès;41,34598;1,69626;social_facility;woman;Generalitat de Catalunya;2018-05-03
19;Servei d'informació i atenció a les dones (SIAD) de Berga;Carrer Voltes de Claris, 12;Carrer Voltes de Claris;12;;;08600;Berga;+34 938 215331 ;puntdona@ajberga.cat;Ajuntament de Berga;42,10439;1,84699;social_facility;woman;Generalitat de Catalunya;2018-05-03
20;Servei d'informació i atenció a les dones (SIAD) de Ripollet;Carrer Balmes, 2, planta baixa;Carrer Balmes;2;;Baixos;08291;Ripollet;+34 935 046040 ;siad@ripollet.cat;Ajuntament de Ripollet;41,49649;2,15347;social_facility;woman;Generalitat de Catalunya;2018-05-03
21;Servei d'informació i atenció a les dones (SIAD) de Calafell;Carrer Lluís Companys, 57, baixos;Carrer Lluís Companys;57;;Baixos;43820;Calafell;+34 977 699009 ;siad@calafell.org;Ajuntament de Calafell;41,19219;1,60666;social_facility;woman;Generalitat de Catalunya;2018-05-03
22;Servei d'informació i atenció a les dones (SIAD) del Baix Empordà;Plaça Joan Carreras i Dagas, 1;Plaça Joan Carreras i Dagas;1;;;17100;La Bisbal d'Empordà;+34 972 642310 ;siad@baixemporda.cat;Consell Comarcal del Baix Empordà;41,95793;3,03848;social_facility;woman;Generalitat de Catalunya;2018-05-03
23;Servei d'informació i atenció a les dones (SIAD) del Pla d'Urgell;Carrer de Prat de la Riba, 1;Carrer de Prat de la Riba;1;;;25230;Mollerussa;+34 973 711313 ;areadona@plaurgell.cat;Consell Comarcal del Pla d'Urgell;41,63168;0,89424;social_facility;woman;Generalitat de Catalunya;2018-05-03
24;Servei d'informació i atenció a les dones (SIAD) de Barcelona - Eixample;Carrer Mallorca, 219, 3a;Carrer Mallorca;219;;3;08008;Barcelona;+34 932 562819 ;piad_eixample@bcn.cat;Ajuntament de Barcelona;41,39129;2,15878;social_facility;woman;Generalitat de Catalunya;2018-05-03
25;Servei d'informació i atenció a les dones (SIAD) de L'Hospitalet de Llobregat;Plaça Can Colom, 1;Plaça Can Colom;1;;;08902;L'Hospitalet de Llobregat;+34 934 036270 ;caid@l-h.cat;Ajuntament de L'Hospitalet de Llobregat;41,3666468;2,1315464;social_facility;woman;Generalitat de Catalunya;2018-05-03
26;Servei d'informació i atenció a les dones (SIAD) de Valls;Muralla del Carme, 24, baixos;Muralla del Carme;24;;Baixos;43800;Valls;+34 977 608225 ;pad@valls.cat;Ajuntament de Valls;41,2828;1,24858;social_facility;woman;Generalitat de Catalunya;2018-05-03
27;Servei d'informació i atenció a les dones (SIAD) de l'Aran;Carrer Major, 36;Carrer Major;36;;;25530;Vielha e Mijaran;+34 973 642560 ;siah@aransalut.com;Consell General d'Aran;42,70004;0,79379;social_facility;woman;Generalitat de Catalunya;2018-05-03
28;Servei d'informació i atenció a les dones (SIAD) de Vilassar de Mar;Carrer Santa Eulàlia, 40;Carrer Santa Eulàlia;40;;;08340;Vilassar de Mar;+34 937 540500 ;diad@vilassardemar.cat;Ajuntament de Vilassar de Mar;41,50422;2,38684;social_facility;woman;Generalitat de Catalunya;2018-05-03
29;Servei d'informació i atenció a les dones (SIAD) del Prat de Llobregat;Plaça de l'Agricultura, 4;Plaça de l'Agricultura;4;;;08820;El Prat de Llobregat;+34 933 790050 ;siad@elprat.cat;Ajuntament d'El Prat de Llobregat;41,32478;2,0932;social_facility;woman;Generalitat de Catalunya;2018-05-03
30;Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sarrià-Sant Gervasi;Carrer Brusi, 51-61;Carrer Brusi;51-61;;;08006;Barcelona;+34 932 002602 ;piad_sarriasantgervasi@bcn.cat;Ajuntament de Barcelona;41,40188;2,14451;social_facility;woman;Generalitat de Catalunya;2018-05-03
31;Servei d'informació i atenció a les dones (SIAD) de Barcelona - Gràcia;Plaça Vila de Gràcia, 2;Plaça Vila de Gràcia;2;;;08012;Barcelona;+34 932 914330 ;piad_gracia@bcn.cat;Ajuntament de Barcelona;41,39993;2,15791;social_facility;woman;Generalitat de Catalunya;2018-05-03
32;Servei d'informació i atenció a les dones (SIAD) de l'Alta Ribagorça;Carrer d'Aigüestortes, 12, baixos;Carrer d'Aigüestortes;12;;Baixos;25520;El Pont de Suert;+34 973 690260 ;dones@ccar.ddl.net;Consell Comarcal de l'Alta Ribagorça;42,4123;0,74075;social_facility;woman;Generalitat de Catalunya;2018-05-03
33;Servei d'informació i atenció a les dones (SIAD) la Canonja;Carrer del Raval, 8;Carrer del Raval;8;;;43110;La Canonja;+34 977 546100 ;ssocials@lacanonja.cat;Ajuntament de La Canonja;41,1227661;1,1788141;social_facility;woman;Generalitat de Catalunya;2018-05-03
34;Servei d'informació i atenció a les dones (SIAD) d'Olot-Garrotxa;Plaça Palau, 8;Plaça Palau;8;;;17800;Olot;+34 972 266644 ;csans@casg.cat;Consorci Acció Social de la Garrotxa;42,18312;2,49397;social_facility;woman;Generalitat de Catalunya;2018-05-03
35;Servei d'informació i atenció a les dones (SIAD) de les Garrigues;Avinguda de Francesc Macià, 54;Avinguda de Francesc Macià;54;;;25400;Les Borges Blanques;+34 973 142658 ;siad@garrigues.cat;Consell Comarcal de les Garrigues;41,51327;0,8765;social_facility;woman;Generalitat de Catalunya;2018-05-03
36;Servei d'informació i atenció a les dones (SIAD) de la Terra Alta;Carrer Bassa d'en Gaire, 1;Carrer de la Bassa d'en Gaire;1;;;43780;Gandesa;+34 977 420018 ;siad@terra-alta.org;Consell Comarcal de la Terra Alta;41,051473;0,4358179;social_facility;woman;Generalitat de Catalunya;2018-05-03
37;Servei d'informació i atenció a les dones (SIAD) de Torredembarra;Carrer Muralla, 16, baixos;Carrer Muralla;16;;Baixos;43830;Torredembarra;+34 977 640025 ;siad@torredembarra.cat;Ajuntament de Torredembarra;41,1444;1,3963;social_facility;woman;Generalitat de Catalunya;2018-05-03
38;Servei d'informació i atenció a les dones (SIAD) de l'Alt Urgell;Plaça de Soldevila, 1, 1a (Centre Cívic del Passeig);Plaça de Soldevila;1;Centre Cívic del Passeig;1;25700;La Seu d'Urgell;+34 973 354102 ;igualtat@capau.cat;Consell Comarcal de l'Alt Urgell;42,35821;1,46148;social_facility;woman;Generalitat de Catalunya;2018-05-03
39;Servei d'Informació i Orientació a les Dones (SIOD) d’Arbúcies;Carrer Major, 2;Carrer Major;2;;;17401;Arbúcies;+34 972 860001 ;siod@ajarbucies.cat;Ajuntament d'Arbúcies;41,8161;2,51385;social_facility;woman;Generalitat de Catalunya;2018-05-03
40;Servei d'informació i atenció a les dones (SIAD) de Roses;Plaça de l'Àngel, 4;Plaça de l'Àngel;4;;;17480;Roses;+34 972 252400 ;benestar@roses.cat;Ajuntament de Roses;42,26318;3,17819;social_facility;woman;Generalitat de Catalunya;2018-05-03
41;Oficina d'informació de l'Institut Català de les Dones a les Terres de l'Ebre;Carrer de Montcada, 23 (Palau Abària);Carrer de Montcada;23;Palau Abària;;43500;Tortosa;+34 977 441234 ;icd.terresebre@gencat.cat;Generalitat de Catalunya;40,813047;0,523474;social_facility;woman;Generalitat de Catalunya;2018-05-03
42;Servei d'informació i atenció a les dones (SIAD) de Manlleu;Carrer Enric Delaris, 7;Carrer Enric Delaris;7;;;08560;Manlleu;+34 938 510848 ;siad@manlleu.cat;Ajuntament de Manlleu;42,00014;2,28332;social_facility;woman;Generalitat de Catalunya;2018-05-03
43;Servei d'informació i atenció a les dones (SIAD) de Cervelló;Plaça del Mestre, 5, B;Plaça del Mestre;5B;;;08758;Cervelló;+34 936 841981 ;cird.donescervello@hotmail.es;Ajuntament de Cervelló;41,39736;1,95902;social_facility;woman;Generalitat de Catalunya;2018-05-03
44;Servei d'informació i atenció a les dones (SIAD) de Barcelona - les Corts;Carrer Dolors Masferrer, 33-35;Carrer Dolors Masferrer;33-35;;;08028;Barcelona;+34 932 916491 ;piad_lescorts@bcn.cat;Ajuntament de Barcelona;41,38483;2,12842;social_facility;woman;Generalitat de Catalunya;2018-05-03
