;name;addr:postcode;addr:city;addr:full;addr:street;addr:housenumber;addr:housename;addr:floor;contact:phone;contact:email;latitude;longitude;network:type;amenity;social_facility:for;source;source:date
1;Servici d'Atencion Integrau en Aran;25530;Viella;Carrer Major, 36;Carrer Major;36;;;+34 973 642560;sai@aran.org;42,70009;0,79397;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
2;Consell Comarcal del Montsià;43870;Amposta;Plaça de Lluís Companys;Plaça de Lluís Companys;;;;+34 977 704371;salut.montsia@oficinajove.cat;40,708550048;0,573500023;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
3;SAI Central;08011;Barcelona;Carrer Sepúlveda,148;Carrer Sepúlveda;148;;;+34 935 517717;arealgbt.tsf@gencat.cat;41,381693848;2,160687632;Departamental;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
4;Servei d'Atenció Integral per a persones LGBTI de la Segarra (comarcal);25200;Cervera;Passeig Jaume Balmes,3;Passeig Jaume Balmes;3;;;+34 973 531300;sai@ccsegarra.cat;41,670840034;1,275259976;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
5;SAI Santa Coloma de Gramenet (local);08921;Santa Coloma de Gramenet;Pompeu Lab. Carrer de Pompeu Fabra,22;Pompeu Lab. Carrer de Pompeu Fabra;22;;;+34 934 661411;lgtbi@gramenet.cat;41,45027;2,20779;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
6;Consell Comarcal de l'Urgell;25300;Tàrrega;Carrer Agoders,16;Carrer Agoders;16;;;+34 973 500707;sai@urgell.cat;41,64669999;1,140639984;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
7;Consell Comarcal Ribera d'Ebre;43740;Mòra d'Ebre;Plaça Sant Roc,2;Plaça Sant Roc;2;;;+34 977 401851;puntjove@riberaebre.org;41,090219965;0,657119986;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
8;SAI Santa Perpètua de Mogoda (local);08130;Santa Perpètua de Mogoda;Pablo Picasso,32. Centre Cívic Can Folguera;Pablo Picasso;32;Centre Cívic Can Folguera;;+34 935 604205;jorgepg@staperpetua.cat;41,531189995;2,186809942;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
9;Consorci d'Acció Social de la Garrotxa (comarcal);17800;Olot;Plaça Palau,8;Plaça Palau;8;;;+34 972 266644;sai@casg.cat;42,183214643;2,493885386;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
10;Consell Comarcal del Garraf;08871;Vilanova i la Geltrú;Plaça Beatriu Claramunt,5-7;Plaça Beatriu Claramunt;5-7;;;+34 938 100410;sai@ccgarraf.cat;41,223239982;1,714530031;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
11;Consell Comarcal de l'Alt Empordà;08208;Figueres;Carrer Nou,48;Carrer Nou;48;;;+34 972 677050;atenciolgtbi@altemporda.cat;42,264940042;2,963509963;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
12;Consell Comarcal del Segrià;25007;Lleida;Carrer del Canyeret;Carrer del Canyeret;;;;+34 973 054800;arevenga@segria.cat;41,616940023;0,627989985;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
13;Consell Comarcal del Baix Ebre;43500;Tortosa;Carrer Barcelona,152;Carrer Barcelona;152;;;+34 977 445308;sai.lgtbi@baixebre.cat;40,797663219;0,525554419;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
